artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
go4broke,https://soundcloud.com/go4brokemusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1005284569,"Pop | Alternative | pop alt altpop altrnb ""Electronic Pop | Contemporary R&B | Electronic",electronic,37,16,United States,Los Angeles
Chaplin,https://soundcloud.com/chplinmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,523827738,"Pop | Pop Alternative thekidlaroi brakence | Hip-hop & Rap | Aggressive trap hiphop pop thekidlaroi | Dark breakup moody pop | Pop Electronic hiphop ""the weeknd"" dark hyper | Hip-Hop Rap Melodic",electronic | trap,118,12,United States,Philadelphia
Tame Impala,https://soundcloud.com/tame-impala?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,5807211,Alternative | Dance Indie,dance,438984,130,Australia,Perth
PLAT.,https://soundcloud.com/platon-chervak-705324636?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,778378228,"Dance & EDM | bass house"" ""Tech House"" ""eli brown"" wavey remix rework 136bpm club underground Dance ""free download | Dance & EDM"" ""bass house"" 136bpm | garage ""bass house"" Diplo ""sonny fodera"" ""turn back time"" 136bpm | ukg ""bass house"" bass house garage | House",bass | bass house | club | dance | edm | electronic | garage | house | tech house | ukg,2541,18,United States,"Miami, Kyiv"
Cailin Russo,https://soundcloud.com/cailinrusso?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,289679185,Electronic | Hip Hop,electronic,3207,63,,Los Angeles
Joy Anonymous,https://soundcloud.com/joyanonymous?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,81868578,Electronic | R&B | Soul,electronic,10804,95,,London*****Adelaide
MLE,https://soundcloud.com/mlemusicc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,578351616,"House | Deep House | MLE "" House | House Electronic",deep house | edm | electronic | house,1542,10,United States,San Diego
Karim Naas,https://soundcloud.com/karimnaas-sc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1545292599,Afro House | Dance | House,afro house | dance | house,25,9,,
Veritas (UK),https://soundcloud.com/veritasuk-sc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1627318983,Dance | UK Garage,dance | garage,221,2,,
Cosmo's Midnight,https://soundcloud.com/cosmosmidnight?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,967874,Dance - House | Dance - Melodic House & Techno | Electronic | Electropop | House | Dancehall,dance | electronic | house | melodic house | techno,91566,102,Australia,Sydney
Noah Henderson,https://soundcloud.com/nhendyson?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,347105525,Pop | sad chill pop indie healing,club | dance | electronic | house,907,26,United States,Los Angeles
PETIT BISCUIT,https://soundcloud.com/petitbiscuit?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,16509370,"Ambient | Indie | Electronic | Electronic ""Dance & EDM",dance | edm | electronic,261030,123,France,
Rivasᵁˢᴬ,https://soundcloud.com/djrivas?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1453252,"Dance & EDM | happy "" ""high energy "" ""workout",dance | edm,76318,90,United States,Boston
MPH,https://soundcloud.com/mph-uk?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,69037974,"UKG | UKG ""Dance & EDM | Garage",bass | dance | edm | garage | ukg,45730,80,,Canterbury
RAYE,https://soundcloud.com/raye?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,115767975,Pop,house,86234,160,,South London
